관광지,url,촬영장소,검색 키워드
강원종합박물관,http://tong.visitkorea.or.kr/cms2/website/14/2474314.jpg,강원도 삼척시 신기면,"강원종합박물관,강원도 삼척시,유물"
강정 고령보,http://tong.visitkorea.or.kr/cms2/website/29/1950129.jpg,대구시,"강정 고령보,고령보,낙동강 고령보,대구,대구시,대구광역시"
강주마을 해바라기,http://tong.visitkorea.or.kr/cms2/website/50/2761750.jpg,경상남도 함안군 법수면,"2021 대한민국 관광공모전(스마트폰-여름),강주마을 해바라기,경상남도 함안군,강주마을,정자,꽃밭,하늘,공원"
강주마을 해바라기 길,http://tong.visitkorea.or.kr/cms2/website/21/2563921.jpg,경상남도 함안군 법수면,"2018 제46회 대한민국 관광사진 공모전,입선,강주마을 해바라기 길,경상남도 함안군,강주마을,강주 해바라기마을"
강진 고려청자디지털박물관,http://tong.visitkorea.or.kr/cms2/website/56/2561456.jpg,전라남도 강진군 대구면,"강진 고려청자디지털박물관,전라남도 강진군,전시관,전시실"
강진 고려청자박물관,http://tong.visitkorea.or.kr/cms2/website/83/979183.jpg,전라남도 강진,"강진청자박물관,강진 고려청자박물관"
강진 남미륵사의봄,http://tong.visitkorea.or.kr/cms2/website/11/2761511.jpeg,전라남도 강진군 군동면,"2021 대한민국 관광공모전(스마트폰-봄),강진 남미륵사의봄,전라남도 강진군,남미륵사,서부해당화,연산홍,꽃 나무,꽃길"
강진 마도진 마호성지,http://tong.visitkorea.or.kr/cms2/website/74/1680774.jpg,전라남도 강진,강진 마도진 마호성지
강진 백련사,http://tong.visitkorea.or.kr/cms2/website/69/1678369.jpg,전라남도 강진,"강진 백련사,사찰,절"
강진다원,http://tong.visitkorea.or.kr/cms2/website/65/2631765.jpg,전라남도 강진군 성전면,"강진다원,전라남도 강진군,강진녹차밭,체험관광지,월출산국립공원,드론촬영,드론사진,항공촬영"
강진도요지,http://tong.visitkorea.or.kr/cms2/website/16/979016.jpg,전라남도 강진,"강진청자박물관,청자빚기체험장"
강진만,http://tong.visitkorea.or.kr/cms2/website/51/1673451.jpg,전라남도 강진,"강진만,가우도 출렁다리"
강진만 철새관찰지,http://tong.visitkorea.or.kr/cms2/website/53/978953.jpg,전라남도 강진군,"강진만 철새관찰지 안내문,망원경"
강천보,http://tong.visitkorea.or.kr/cms2/website/35/1433335.jpg,경기도 여주,"강천보,전망대,4대강"
강천사,http://tong.visitkorea.or.kr/cms2/website/63/2550063.jpg,전라북도 순창군,"강천사 대웅전,전라북도 순창군,절,사찰,연등"
강천산 군립공원,http://tong.visitkorea.or.kr/cms2/website/41/2027641.jpg,전라북도 순창군,"강천산군립공원,강천산,군립공원,전라북도,순창,산"
강천산군립공원,http://tong.visitkorea.or.kr/cms2/website/70/2550070.jpg,전라북도 순창군,"강천산군립공원,전라북도 순창군,산책로,산책길,강천산 구름다리,강천산 현수교"
강촌레일바이크,http://tong.visitkorea.or.kr/cms2/website/22/2620322.jpg,강원도 춘천시 신동면,"2019 제47회 대한민국 관광사진 공모전,입선,강촌레일바이크,강원도 춘천시,강촌레일파크,김유정레일바이크,가을,추경,단풍"
강화 고인돌,http://tong.visitkorea.or.kr/cms2/website/22/1835322.jpg,인천광역시 강화도,"강화 고인돌 유적지,유네스코 세계문화유산"
강화갯벌,http://tong.visitkorea.or.kr/cms2/website/87/1770087.jpg,인천광역시,"강화갯벌,개펄"
강화역사박물관,http://tong.visitkorea.or.kr/cms2/website/66/1835366.jpg,인천광역시 강화도,강화역사박물관
강화인삼센터,http://tong.visitkorea.or.kr/cms2/website/11/1755511.jpg,인천광역시 강화도,"강화인삼센터,특산물"
강화평화전망대,http://tong.visitkorea.or.kr/cms2/website/30/1754830.jpg,인천광역시 강화도,강화평화전망대
강화풍물시장,http://tong.visitkorea.or.kr/cms2/website/26/2350226.jpg,인천광역시 강화군,"강화풍물시장,인천,강화,재래시장,전통시장,시장,해산물"
강화화문석문화관,http://tong.visitkorea.or.kr/cms2/website/68/1755468.jpg,인천광역시 강화도,"강화화문석문화관,전시관"
개태사,http://tong.visitkorea.or.kr/cms2/website/35/1563035.jpg,충청남도 논산,"개태사,사찰,절,논산8경,대웅전"
갤러리 와,http://tong.visitkorea.or.kr/cms2/website/99/1110699.jpg,경기도 양평,갤러리 와
갯배,http://tong.visitkorea.or.kr/cms2/website/35/1879735.jpg,강원도 속초,"속초 갯배,속초항 ,강원도 속초시,강원도속초시"
갯벌위에 노을,http://tong.visitkorea.or.kr/cms2/website/44/2761744.jpg,인천광역시 중구 ,"2021 대한민국 관광공모전(스마트폰-여름),갯벌위에 노을,인천광역시 중구,영종대교,노을,바다,갯벌 생태공원"
거가대교,http://tong.visitkorea.or.kr/cms2/website/68/1155068.jpg,경상남도,"거가대교 야경,다리"
거금대교,http://tong.visitkorea.or.kr/cms2/website/27/1780927.jpg,전라남도 고흥,"거금대교,다리"
거금도,http://tong.visitkorea.or.kr/cms2/website/67/1681367.jpg,전라남도 고흥,"거금도,섬,바다"
거례리수목공원,http://tong.visitkorea.or.kr/cms2/website/41/2779241.jpg,강원도 화천군 하남면,"거례리수목공원,강원도 화천군,화천 아를테마 수목원,화천 아를테마 수목공원,사랑나무,가을,추경,단풍,드론촬영,드론사진,항공촬영"
거린사슴전망대,http://tong.visitkorea.or.kr/cms2/website/85/1862785.jpg,제주도,"거린사슴전망대,제주도"
거문고,http://tong.visitkorea.or.kr/cms2/website/17/1887317.jpg,전라북도 전주시,"2013 중요무형문화재 보유자작품전,문화재청국립무형유산원,(사)한국무형유산진흥센터,전통악기,민속악기,정악 거문고,중요무형문화재 악기장 보유자 고흥곤,전라북도전주시,전라북도 전주시"
거문도,http://tong.visitkorea.or.kr/cms2/website/35/1915035.jpg,전라남도 여수시,"거문도,섬,바다,선바위,전라남도 여수시,전라남도여수시"
거문도 등대,http://tong.visitkorea.or.kr/cms2/website/47/1915047.jpg,전라남도 여수시,"거문도 등대,섬,전라남도 여수시,전라남도여수시"
거문도 여객선터미널,http://tong.visitkorea.or.kr/cms2/website/53/1915053.jpg,전라남도 여수시,"거문도항,여수구항,거문도 여객선터미널,전라남도 여수시,전라남도여수시"
"거문도, 섬, 바다, 목넘어",http://tong.visitkorea.or.kr/cms2/website/37/1915037.jpg,전라남도 여수시,"거문도,섬,바다,목너머와,전라남도 여수시,전라남도여수시"
거문오름,http://tong.visitkorea.or.kr/cms2/website/64/1845464.jpg,제주도,"거문오름 탐방로,제주,숲,트레킹"
거제 바람의 언덕,http://tong.visitkorea.or.kr/cms2/website/45/2818445.jpg,경상남도 거제시 남부면,"거제 바람의 언덕,경상남도 거제시,거제 전망대,거제도,드라마 촬영지,별에서 온 그대 촬영지,드론촬영,드론사진,항공촬영,파노라마"
거제 신선대,http://tong.visitkorea.or.kr/cms2/website/64/2440564.jpg,경상남도 거제시 남부면,"거제 신선대,경상남도 거제시,전망대,바다,전경"
거제 외도,http://tong.visitkorea.or.kr/cms2/website/90/2568590.jpg,경상남도 거제시 일운면,"거제 외도,경상남도 거제시,2018 상반기 기획사진,거제도,드라마 촬영지,함부로 애틋하게,보타니아,섬,선착장,방파제,바다,드론촬영,드론사진,항공촬영"
거제도 해금강,http://tong.visitkorea.or.kr/cms2/website/26/2568626.jpg,경상남도 거제시 남부면,"거제도 해금강,경상남도 거제시,2018 상반기 기획사진,거제도,바위섬,바다,드론촬영,드론사진,항공촬영"
거제도의 봄,http://tong.visitkorea.or.kr/cms2/website/67/2761567.jpg,경상남도 거제시,"2021 대한민국 관광공모전(스마트폰-봄),거제도의 봄,경상남도 거제시,학동 내촐,유채꽃,바다,꽃밭,포토존"
거제맹종죽 테마공원,http://tong.visitkorea.or.kr/cms2/website/78/2458678.jpg,경상남도 거제시 하청면,"거제맹종죽 테마공원,경상남도 거제시,2016 한류드라마촬영지 기획사진,별에서 온 그대, 대나무숲,산책로"
